PB.10001:GPA33	GPA33
PB.175873:LRP5L	LRP5L
PB.175873:ENSG00000272942	ENSG00000272942
PB.175873:ENSG00000231466	ENSG00000231466
PB.175898:GRK3	GRK3
PB.175898:CRYBB2P1	CRYBB2P1
PB.175898:CRYBB2P1+GRK3	CRYBB2P1+GRK3
PB.175898:IGLL3P	IGLL3P
PB.175898:ENSG00000272977	ENSG00000272977
PB.175908:MYO18B	MYO18B
PB.175937:SEZ6L	SEZ6L
PB.175937:ASPHD2	ASPHD2
PB.175954:SRRD	SRRD
PB.175959:TFIP11-DT	TFIP11-DT
PB.175961:HPS4	HPS4
PB.175961:TFIP11	TFIP11
PB.175961:TPST2	TPST2
PB.175961:CRYBB1	CRYBB1
PB.175998:LINC01422	LINC01422
PB.175998:CRYBA4+ENSG00000286326	CRYBA4+ENSG00000286326
PB.175998:ENSG00000286326	ENSG00000286326
PB.175998:CRYBA4	CRYBA4
PB.175998:MIAT	MIAT
PB.175998:ENSG00000276991	ENSG00000276991
PB.175998:MIATNB	MIATNB
PB.175998:LINC01422+MIATNB	LINC01422+MIATNB
PB.175998:MIAT+MIATNB	MIAT+MIATNB
PB.175998:LINC01422+MIAT	LINC01422+MIAT
PB.175998:ENSG00000235271+MIATNB	ENSG00000235271+MIATNB
PB.175998:HMGB1P10	HMGB1P10
PB.176:SMIM1	SMIM1
PB.176019:ENSG00000289489	ENSG00000289489
PB.176058:TTC28-AS1	TTC28-AS1
PB.176089:PITPNB	PITPNB
PB.176089:RN7SL757P	RN7SL757P
PB.176089:TTC28	TTC28
PB.176141:RN7SL162P	RN7SL162P
PB.176143:CHEK2	CHEK2
PB.176143:XBP1	XBP1
PB.176168:HSCB	HSCB
PB.176168:CCDC117	CCDC117
PB.176168:CCDC117+ENSG00000226471	CCDC117+ENSG00000226471
PB.176168:ENSG00000226471	ENSG00000226471
PB.176173:ZNRF3	ZNRF3
PB.176202:RHBDD3	RHBDD3
PB.176211:EWSR1	EWSR1
PB.176214:RASL10A	RASL10A
PB.176215:GAS2L1	GAS2L1
PB.176224:AP1B1	AP1B1
PB.176224:RASL10A	RASL10A
PB.176224:ENSG00000273216	ENSG00000273216
PB.176225:ENSG00000282816+RFPL1S	ENSG00000282816+RFPL1S
PB.176225:THOC5	THOC5
PB.176225:NIPSNAP1	NIPSNAP1
PB.176225:RFPL1S	RFPL1S
PB.176240:ENSG00000287967+ZMAT5	ENSG00000287967+ZMAT5
PB.176240:ZMAT5	ZMAT5
PB.176251:NF2	NF2
PB.176251:RPEP4	RPEP4
PB.176251:NEFH	NEFH
PB.176251:UQCR10	UQCR10
PB.176257:ASCC2	ASCC2
PB.176257:ENSG00000279159	ENSG00000279159
PB.176258:ENSG00000279159	ENSG00000279159
PB.176261:ENSG00000279159	ENSG00000279159
PB.176263:ENSG00000279159	ENSG00000279159
PB.176264:MTMR3	MTMR3
PB.176278:ENSG00000279159	ENSG00000279159
PB.176278:HORMAD2-AS1	HORMAD2-AS1
PB.176291:LIF-AS2	LIF-AS2
PB.176295:OSM	OSM
PB.176299:ENSG00000279699	ENSG00000279699
PB.176307:CASTOR1	CASTOR1
PB.176307:ENSG00000248751	ENSG00000248751
PB.176313:TBC1D10A	TBC1D10A
PB.176317:CCDC157	CCDC157
PB.176319:CCDC157	CCDC157
PB.176323:SF3A1	SF3A1
PB.176323:RNF215	RNF215
PB.176324:RNF215	RNF215
PB.176324:ENSG00000272689	ENSG00000272689
PB.176329:MTFP1	MTFP1
PB.176329:SEC14L2	SEC14L2
PB.176329:ENSG00000249590	ENSG00000249590
PB.176329:ENSG00000273350	ENSG00000273350
PB.176338:SEC14L6	SEC14L6
PB.176346:PES1	PES1
PB.176351:PES1	PES1
PB.176356:TCN2	TCN2
PB.176362:SLC35E4	SLC35E4
PB.176371:DUSP18	DUSP18
PB.176371:ENSG00000250318	ENSG00000250318
PB.176438:MORC2-AS1	MORC2-AS1
PB.176438:OSBP2	OSBP2
PB.176442:MORC2	MORC2
PB.176447:TUG1	TUG1
PB.176447:ENSG00000276965	ENSG00000276965
PB.176460:SMTN	SMTN
PB.176463:ENSG00000273387	ENSG00000273387
PB.176466:SMTN	SMTN
PB.176468:SELENOM	SELENOM
PB.176474:RNF185	RNF185
PB.176474:LIMK2	LIMK2
PB.176474:PIK3IP1-DT	PIK3IP1-DT
PB.176474:LINC01521	LINC01521
PB.176482:EIF4ENIF1	EIF4ENIF1
PB.176482:PIK3IP1	PIK3IP1
PB.176482:H2AZP6	H2AZP6
PB.176482:ENSG00000229169	ENSG00000229169
PB.176482:PISD	PISD
PB.176482:PRR14L	PRR14L
PB.176482:RNF185-AS1	RNF185-AS1
PB.176482:PATZ1	PATZ1
PB.176490:DRG1	DRG1
PB.176490:SFI1	SFI1
PB.176490:DEPDC5	DEPDC5
PB.176490:ENSG00000285404	ENSG00000285404
PB.176490:RN7SL20P	RN7SL20P
PB.176490:ENSG00000240591	ENSG00000240591
PB.176490:ENSG00000287817	ENSG00000287817
PB.176490:DRG1+ENSG00000214093	DRG1+ENSG00000214093
PB.176490:DRG1+SFI1	DRG1+SFI1
PB.176490:DRG1+ENSG00000240591	DRG1+ENSG00000240591
PB.176490:ENSG00000214093	ENSG00000214093
PB.176499:YWHAH	YWHAH
PB.176505:C22orf42	C22orf42
PB.176508:SLC5A4-AS1	SLC5A4-AS1
PB.176512:RFPL2	RFPL2
PB.176536:CPSF1P1	CPSF1P1
PB.176548:ENSG00000273325	ENSG00000273325
PB.176572:RTCB	RTCB
PB.176572:RFPL3S	RFPL3S
PB.176579:FBXO7	FBXO7
PB.176671:SYN3	SYN3
PB.17669:ENSG00000224626	ENSG00000224626
PB.17669:ENSG00000287284	ENSG00000287284
PB.176700:LARGE1	LARGE1
PB.176838:LARGE1	LARGE1
PB.176839:LARGE1-AS1	LARGE1-AS1
PB.176863:LINC01399	LINC01399
PB.176877:HMGXB4	HMGXB4
PB.176887:TOM1	TOM1
PB.1769:ZNF362	ZNF362
PB.1769:ENSG00000270115	ENSG00000270115
PB.176900:HMOX1	HMOX1
PB.176923:MCM5	MCM5
PB.176944:APOL6	APOL6
PB.176987:RBFOX2	RBFOX2
PB.176987:NDUFA9P1	NDUFA9P1
PB.177:ENSG00000272153	ENSG00000272153
PB.177:RN7SL574P	RN7SL574P
PB.177011:APOL3	APOL3
PB.177011:MYH9	MYH9
PB.177011:ENSG00000228719	ENSG00000228719
PB.177011:APOL4	APOL4
PB.177011:APOL2	APOL2
PB.177011:ENSG00000279805	ENSG00000279805
PB.177011:APOL3+ENSG00000279805	APOL3+ENSG00000279805
PB.177013:TXN2	TXN2
PB.177013:FOXRED2	FOXRED2
PB.177020:EIF3D	EIF3D
PB.177022:APOL1	APOL1
PB.177022:ENSG00000287269	ENSG00000287269
PB.177022:ENSG00000223695	ENSG00000223695
PB.177029:IFT27	IFT27
PB.177030:PVALB	PVALB
PB.177038:NCF4	NCF4
PB.177038:CSF2RB	CSF2RB
PB.177040:CSF2RB	CSF2RB
PB.177043:MPST	MPST
PB.177044:TST	TST
PB.177045:KCTD17	KCTD17
PB.177046:RN7SKP214	RN7SKP214
PB.177065:IL2RB	IL2RB
PB.17707:LINC01376	LINC01376
PB.177077:C1QTNF6	C1QTNF6
PB.177088:SSTR3	SSTR3
PB.177088:RAC2	RAC2
PB.177088:RAC2+SSTR3	RAC2+SSTR3
PB.177101:CYTH4	CYTH4
PB.177105:ENSG00000272694	ENSG00000272694
PB.177131:MFNG	MFNG
PB.177135:CDC42EP1	CDC42EP1
PB.177141:LGALS2	LGALS2
PB.177157:RN7SL385P	RN7SL385P
PB.177161:ANKRD54	ANKRD54
PB.177167:GGA1	GGA1
PB.177167:EIF3L	EIF3L
PB.177167:EIF3L+ENSG00000279738	EIF3L+ENSG00000279738
PB.177167:ENSG00000279738	ENSG00000279738
PB.177167:MICALL1	MICALL1
PB.177167:ENSG00000278948+MICALL1	ENSG00000278948+MICALL1
PB.177167:ENSG00000278948	ENSG00000278948
PB.177167:SH3BP1	SH3BP1
PB.177167:ENSG00000285304	ENSG00000285304
PB.177167:LGALS1+PDXP	LGALS1+PDXP
PB.177167:PDXP	PDXP
PB.177167:LGALS1	LGALS1
PB.177167:NOL12	NOL12
PB.177167:ENSG00000100101	ENSG00000100101
PB.177167:TRIOBP	TRIOBP
PB.177167:H1-0	H1-0
PB.177167:GCAT	GCAT
PB.177169:ENSG00000272582	ENSG00000272582
PB.177178:POLR2F	POLR2F
PB.177185:SLC16A8	SLC16A8
PB.177186:BAIAP2L2	BAIAP2L2
PB.177189:PICK1	PICK1
PB.177189:ENSG00000272720+PICK1	ENSG00000272720+PICK1
PB.177189:ENSG00000272720	ENSG00000272720
PB.177203:ENSG00000279080	ENSG00000279080
PB.177204:ENSG00000279080	ENSG00000279080
PB.177205:ENSG00000279080	ENSG00000279080
PB.177206:ENSG00000279080	ENSG00000279080
PB.177207:ENSG00000279080	ENSG00000279080
PB.177221:PLA2G6	PLA2G6
PB.177227:MAFF	MAFF
PB.177229:TMEM184B	TMEM184B
PB.177251:DDX17	DDX17
PB.177251:DMC1	DMC1
PB.177251:ENSG00000228274	ENSG00000228274
PB.177251:TPTEP2	TPTEP2
PB.177251:CSNK1E	CSNK1E
PB.177251:TPTEP2-CSNK1E	TPTEP2-CSNK1E
PB.177252:JOSD1	JOSD1
PB.177252:PRDX3P1	PRDX3P1
PB.177252:SUN2	SUN2
PB.177252:DNAL4	DNAL4
PB.177252:NPTXR	NPTXR
PB.177252:CBX6	CBX6
PB.177259:APOBEC3B-AS1	APOBEC3B-AS1
PB.177264:KDELR3	KDELR3
PB.177264:APOBEC3C	APOBEC3C
PB.177264:APOBEC3C+APOBEC3D	APOBEC3C+APOBEC3D
PB.177264:APOBEC3D	APOBEC3D
PB.177264:APOBEC3F	APOBEC3F
PB.177264:ENSG00000259421	ENSG00000259421
PB.177264:APOBEC3G	APOBEC3G
PB.177264:CBY1	CBY1
PB.177264:TOMM22	TOMM22
PB.177264:GTPBP1	GTPBP1
PB.177264:ENSG00000225450+GTPBP1	ENSG00000225450+GTPBP1
PB.177264:ENSG00000272669	ENSG00000272669
PB.177264:ENSG00000288106	ENSG00000288106
PB.177264:APOBEC3A	APOBEC3A
PB.177264:APOBEC3A+APOBEC3B	APOBEC3A+APOBEC3B
PB.177264:APOBEC3B	APOBEC3B
PB.177267:ENSG00000225720	ENSG00000225720
PB.177272:APOBEC3H	APOBEC3H
PB.177287:CBX7	CBX7
PB.177287:COX5BP7	COX5BP7
PB.177287:CBX7+COX5BP7	CBX7+COX5BP7
PB.177297:PDGFB	PDGFB
PB.177306:ENSG00000284633	ENSG00000284633
PB.177306:ENSG00000279833	ENSG00000279833
PB.177306:FUNDC2P4	FUNDC2P4
PB.177310:SYNGR1	SYNGR1
PB.177310:ENSG00000280216	ENSG00000280216
PB.177314:TAB1	TAB1
PB.177338:MIEF1	MIEF1
PB.177344:ATF4	ATF4
PB.177358:CACNA1I	CACNA1I
PB.177360:CACNA1I	CACNA1I
PB.177369:ENTHD1	ENTHD1
PB.177370:TNRC6B-DT	TNRC6B-DT
PB.177374:MRTFA	MRTFA
PB.177374:ENSG00000289292	ENSG00000289292
PB.177374:GAPDHP37	GAPDHP37
PB.177379:GRAP2	GRAP2
PB.177379:FAM83F	FAM83F
PB.177379:TNRC6B	TNRC6B
PB.177379:ENSG00000225528	ENSG00000225528
PB.177379:ADSL	ADSL
PB.177379:ADSL+SGSM3	ADSL+SGSM3
PB.177379:SGSM3	SGSM3
PB.177379:ENSG00000272834	ENSG00000272834
PB.177379:ENSG00000227413	ENSG00000227413
PB.177385:ENSG00000230769	ENSG00000230769
PB.177385:SLC25A17	SLC25A17
PB.177385:EP300-AS1	EP300-AS1
PB.177385:LRRC37A14P	LRRC37A14P
PB.177385:L3MBTL2-AS1	L3MBTL2-AS1
PB.177385:CHADL	CHADL
PB.177385:RANGAP1	RANGAP1
PB.177385:TOB2	TOB2
PB.177385:PHF5A	PHF5A
PB.177385:POLR3H	POLR3H
PB.177385:POLR3H+SNU13	POLR3H+SNU13
PB.177385:PMM1	PMM1
PB.177385:DESI1	DESI1
PB.177385:SNU13	SNU13
PB.177385:ENSG00000285531	ENSG00000285531
PB.177385:ST13	ST13
PB.177385:SHISA8	SHISA8
PB.177385:TNFRSF13C	TNFRSF13C
PB.177385:CENPM	CENPM
PB.177385:SLC25A5P1	SLC25A5P1
PB.177385:DNAJB7	DNAJB7
PB.177391:EP300	EP300
PB.177391:XPNPEP3	XPNPEP3
PB.177391:L3MBTL2	L3MBTL2
PB.177391:ZC3H7B	ZC3H7B
PB.177391:TEF	TEF
PB.177391:ENSG00000273424	ENSG00000273424
PB.177391:ACO2	ACO2
PB.177391:XRCC6	XRCC6
PB.177391:C22orf46	C22orf46
PB.177391:MEI1	MEI1
PB.177391:CCDC134	CCDC134
PB.177391:SREBF2	SREBF2
PB.177391:Metazoa+SRP	Metazoa+SRP
PB.177391:WBP2NL	WBP2NL
PB.177391:RBX1	RBX1
PB.177396:NAGA	NAGA
PB.177400:NDUFA6	NDUFA6
PB.177400:ENSG00000270083	ENSG00000270083
PB.177401:TCF20	TCF20
PB.177401:OLA1P1	OLA1P1
PB.177401:LINC01315	LINC01315
PB.177401:NFAM1	NFAM1
PB.177401:CYP2D7	CYP2D7
PB.177401:CYP2D7+CYP2D8P	CYP2D7+CYP2D8P
PB.177401:CYP2D8P	CYP2D8P
PB.177403:SMDT1	SMDT1
PB.177403:NDUFA6-DT+SMDT1	NDUFA6-DT+SMDT1
PB.177403:NDUFA6-DT	NDUFA6-DT
PB.177403:ENSG00000286659	ENSG00000286659
PB.177403:ENSG00000281538+NDUFA6-DT	ENSG00000281538+NDUFA6-DT
PB.177403:PHETA2	PHETA2
PB.177403:ENSG00000227370	ENSG00000227370
PB.177403:OGFRP1	OGFRP1
PB.177405:ENSG00000270022	ENSG00000270022
PB.177405:SERHL	SERHL
PB.177405:SERHL2	SERHL2
PB.177424:BIK	BIK
PB.177429:TSPO	TSPO
PB.177439:ARFGAP3	ARFGAP3
PB.177439:PACSIN2	PACSIN2
PB.177439:RRP7A	RRP7A
PB.177439:ARFGAP3+PACSIN2	ARFGAP3+PACSIN2
PB.177439:ENSG00000226989	ENSG00000226989
PB.177439:TTLL1	TTLL1
PB.177439:RRP7BP	RRP7BP
PB.177439:MCAT	MCAT
PB.177439:TTLL12	TTLL12
PB.177439:RRP7A+RRP7BP	RRP7A+RRP7BP
PB.177439:POLDIP3	POLDIP3
PB.177439:CYB5R3	CYB5R3
PB.177439:ATP5MGL	ATP5MGL
PB.177439:ENSG00000274717	ENSG00000274717
PB.17744:LINC00954	LINC00954
PB.177446:EFCAB6	EFCAB6
PB.17746:TTC32-DT	TTC32-DT
PB.17748:TTC32	TTC32
PB.177481:EFCAB6	EFCAB6
PB.177484:EFCAB6-DT	EFCAB6-DT
PB.177537:ENSG00000279933	ENSG00000279933
PB.177539:ENSG00000280011	ENSG00000280011
PB.177540:SAMM50	SAMM50
PB.177540:PARVB	PARVB
PB.177540:ENSG00000279175	ENSG00000279175
PB.177540:ENSG00000280434	ENSG00000280434
PB.177540:PARVG	PARVG
PB.177558:MRPS18CP6	MRPS18CP6
PB.177558:ENSG00000279642	ENSG00000279642
PB.177558:RTL6	RTL6
PB.177560:RTL6	RTL6
PB.177590:PRR5	PRR5
PB.177590:PRR5-ARHGAP8	PRR5-ARHGAP8
PB.177590:ARHGAP8+PRR5	ARHGAP8+PRR5
PB.177590:ARHGAP8	ARHGAP8
PB.177605:NUP50-DT	NUP50-DT
PB.177605:ENSG00000273243	ENSG00000273243
PB.177607:NUP50	NUP50
PB.177607:ENSG00000273353+NUP50	ENSG00000273353+NUP50
PB.177607:ENSG00000273353	ENSG00000273353
PB.177622:KIAA0930	KIAA0930
PB.177627:UPK3A	UPK3A
PB.177657:FAM118A	FAM118A
PB.177663:SMC1B	SMC1B
PB.177667:RIBC2	RIBC2
PB.177669:RIBC2	RIBC2
PB.177679:LINC01589	LINC01589
PB.177682:ENSG00000235347	ENSG00000235347
PB.177685:ATXN10	ATXN10
PB.177685:ENSG00000280383	ENSG00000280383
PB.177692:ENSG00000279954	ENSG00000279954
PB.177693:ENSG00000279954	ENSG00000279954
PB.177699:ENSG00000273145	ENSG00000273145
PB.177708:LINC00899	LINC00899
PB.177708:ENSG00000289160	ENSG00000289160
PB.17771:WDR35	WDR35
PB.177710:PRR34	PRR34
PB.177714:ENSG00000235159	ENSG00000235159
PB.177718:PRR34-AS1	PRR34-AS1
PB.177718:ENSG00000289044	ENSG00000289044
PB.177718:MIRLET7BHG	MIRLET7BHG
PB.177718:ENSG00000273289	ENSG00000273289
PB.177718:ENSG00000273289+PRR34-AS1	ENSG00000273289+PRR34-AS1
PB.177736:PPARA	PPARA
PB.177736:ENSG00000280384	ENSG00000280384
PB.177742:CDPF1	CDPF1
PB.177744:TTC38	TTC38
PB.177746:GTSE1-DT	GTSE1-DT
PB.17775:ENSG00000227210	ENSG00000227210
PB.177751:GTSE1	GTSE1
PB.177759:TRMU	TRMU
PB.177763:CELSR1	CELSR1
PB.177764:CELSR1	CELSR1
PB.177770:CELSR1	CELSR1
PB.177802:CERK	CERK
PB.177802:TBC1D22A-DT	TBC1D22A-DT
PB.177808:GRAMD4	GRAMD4
PB.177808:TBC1D22A	TBC1D22A
PB.177853:LINC01644	LINC01644
PB.17787:LAPTM4A	LAPTM4A
PB.17790:DRG1P1	DRG1P1
PB.177906:ENSG00000286381	ENSG00000286381
PB.177919:MIR3667HG	MIR3667HG
PB.177919:ENSG00000235111	ENSG00000235111
PB.177919:ENSG00000235111+MIR3667HG	ENSG00000235111+MIR3667HG
PB.177921:ENSG00000288834	ENSG00000288834
PB.177921:ENSG00000212939	ENSG00000212939
PB.177922:ENSG00000226954	ENSG00000226954
PB.17793:LAPTM4A-DT	LAPTM4A-DT
PB.177936:ENSG00000279345	ENSG00000279345
PB.177936:ENSG00000273192	ENSG00000273192
PB.177936:CRELD2	CRELD2
PB.177936:PIM3	PIM3
PB.177936:ENSG00000236867	ENSG00000236867
PB.177936:ZBED4	ZBED4
PB.177939:BRD1	BRD1
PB.177939:ENSG00000260613	ENSG00000260613
PB.177939:ALG12	ALG12
PB.177939:ENSG00000278869	ENSG00000278869
PB.17794:PUM2	PUM2
PB.177946:MLC1	MLC1
PB.177947:MOV10L1	MOV10L1
PB.177962:ENSG00000273188	ENSG00000273188
PB.177963:ENSG00000273253	ENSG00000273253
PB.177965:TYMP	TYMP
PB.177965:ODF3B+TYMP	ODF3B+TYMP
PB.177965:ODF3B+SCO2	ODF3B+SCO2
PB.177965:ODF3B	ODF3B
PB.177965:SCO2	SCO2
PB.177965:TUBGCP6	TUBGCP6
PB.177965:HDAC10	HDAC10
PB.177965:ENSG00000273137	ENSG00000273137
PB.177965:KLHDC7B-DT	KLHDC7B-DT
PB.177965:SYCE3	SYCE3
PB.177965:MAPK12	MAPK12
PB.177965:CPT1B	CPT1B
PB.177965:CHKB+CPT1B	CHKB+CPT1B
PB.177965:CHKB	CHKB
PB.177965:CHKB-CPT1B	CHKB-CPT1B
PB.177965:MAPK11	MAPK11
PB.177965:PLXNB2	PLXNB2
PB.177965:DENND6B	DENND6B
PB.177965:SBF1	SBF1
PB.177965:ENSG00000272836	ENSG00000272836
PB.177965:LMF2	LMF2
PB.177965:SCO2+TYMP	SCO2+TYMP
PB.177974:ARSA	ARSA
PB.177975:TRABD	TRABD
PB.177975:PPP6R2	PPP6R2
PB.177975:NCAPH2	NCAPH2
PB.177975:ENSG00000273272	ENSG00000273272
PB.177975:KLHDC7B	KLHDC7B
PB.177975:CHKB-DT	CHKB-DT
PB.177975:CHKB-DT+ENSG00000272940	CHKB-DT+ENSG00000272940
PB.177975:ENSG00000272940	ENSG00000272940
PB.177975:ENSG00000289244	ENSG00000289244
PB.177975:SELENOO	SELENOO
PB.177975:ENSG00000288871	ENSG00000288871
PB.177979:SHANK3	SHANK3
PB.177983:RABL2B	RABL2B
PB.178006:PLCXD1	PLCXD1
PB.178016:ENSG00000280767+ENSG00000281849	ENSG00000280767+ENSG00000281849
PB.178016:ENSG00000281849	ENSG00000281849
PB.178016:ENSG00000280767	ENSG00000280767
PB.178025:GTPBP6	GTPBP6
PB.178025:PPP2R3B	PPP2R3B
PB.178033:ENSG00000237531	ENSG00000237531
PB.178047:SLC25A6	SLC25A6
PB.178047:ASMTL	ASMTL
PB.178047:P2RY8	P2RY8
PB.178051:ASMTL-AS1	ASMTL-AS1
PB.178051:CSF2RA	CSF2RA
PB.178051:AKAP17A	AKAP17A
PB.178051:ASMT	ASMT
PB.178051:ENSG00000223511	ENSG00000223511
PB.178051:ENSG00000289620	ENSG00000289620
PB.178051:ENSG00000223511+ENSG00000289620	ENSG00000223511+ENSG00000289620
PB.178051:IL3RA	IL3RA
PB.178051:ASMTL-AS1+LINC00106	ASMTL-AS1+LINC00106
PB.178051:LINC00106	LINC00106
PB.17809:RHOB	RHOB
PB.178110:DHRSX	DHRSX
PB.178110:ZBED1	ZBED1
PB.178110:ENSG00000289007	ENSG00000289007
PB.178115:CD99	CD99
PB.178115:CD99+CD99P1	CD99+CD99P1
PB.178115:CD99P1	CD99P1
PB.178131:ARSD	ARSD
PB.178133:ARSL	ARSL
PB.178152:PRKX	PRKX
PB.178160:ENSG00000286431	ENSG00000286431
PB.178166:ENSG00000285756	ENSG00000285756
PB.17824:HS1BP3	HS1BP3
PB.17824:ENSG00000269976	ENSG00000269976
PB.178282:PUDP	PUDP
PB.178282:ENSG00000228550	ENSG00000228550
PB.17829:GDF7	GDF7
PB.178329:STS	STS
PB.178375:PNPLA4	PNPLA4
PB.17844:ENSG00000270100	ENSG00000270100
PB.17844:LDAH	LDAH
PB.178451:ENSG00000285679	ENSG00000285679
PB.178527:FAM9B	FAM9B
PB.178585:TBL1X	TBL1X
PB.178592:TBL1X	TBL1X
PB.178598:SHROOM2	SHROOM2
PB.178614:WWC3	WWC3
PB.178630:CLCN4	CLCN4
PB.178637:CLCN4	CLCN4
PB.17869:ENSG00000271629	ENSG00000271629
PB.1787:PHC2	PHC2
PB.1787:PHC2+RN7SKP16	PHC2+RN7SKP16
PB.1787:RN7SKP16	RN7SKP16
PB.178734:ENSG00000234129	ENSG00000234129
PB.178738:HCCS	HCCS
PB.178748:ARHGAP6	ARHGAP6
PB.17876:ENSG00000233005	ENSG00000233005
PB.17876:TDRD15	TDRD15
PB.17876:ENSG00000233005+TDRD15	ENSG00000233005+TDRD15
PB.178762:ARHGAP6	ARHGAP6
PB.178777:MSL3	MSL3
PB.178823:PRPS2	PRPS2
PB.178832:TLR7	TLR7
PB.178844:TLR8	TLR8
PB.178861:ENSG00000288817	ENSG00000288817
PB.178865:TMSB4X	TMSB4X
PB.178889:ENSG00000289596	ENSG00000289596
PB.178893:ENSG00000261030	ENSG00000261030
PB.178925:GPX1P1	GPX1P1
PB.178932:TRAPPC2	TRAPPC2
PB.178939:TCEANC	TCEANC
PB.178939:RAB9A	RAB9A
PB.178939:OFD1+RAB9A	OFD1+RAB9A
PB.178939:OFD1	OFD1
PB.178939:RAB9A+TCEANC	RAB9A+TCEANC
PB.178939:ENSG00000289449	ENSG00000289449
PB.178961:GPM6B	GPM6B
PB.178974:GEMIN8	GEMIN8
PB.178974:ENSG00000212663	ENSG00000212663
PB.1790:PHC2	PHC2
PB.179015:NPM1P9	NPM1P9
PB.179015:FANCB	FANCB
PB.179022:MOSPD2	MOSPD2
PB.179045:ASB9	ASB9
PB.179058:PIGA	PIGA
PB.179059:PIR	PIR
PB.179064:PIR	PIR
PB.179071:CLTRN	CLTRN
PB.179071:INE2	INE2
PB.179071:AP1S2	AP1S2
PB.179095:CA5B	CA5B
PB.179095:ZRSR2	ZRSR2
PB.179095:CA5BP1	CA5BP1
PB.179095:CA5B+CA5BP1	CA5B+CA5BP1
PB.179095:ENSG00000289237	ENSG00000289237
PB.179095:GRPR	GRPR
PB.179169:SYAP1	SYAP1
PB.179169:TXLNG	TXLNG
PB.179171:CTPS2	CTPS2
PB.179171:RBBP7	RBBP7
PB.179209:REPS2	REPS2
PB.179275:ENSG00000235834+NHS	ENSG00000235834+NHS
PB.179275:ENSG00000235834	ENSG00000235834
PB.179275:NHS	NHS
PB.179278:NHS	NHS
PB.179284:SCML1	SCML1
PB.179307:BEND2	BEND2
PB.179308:BEND2	BEND2
PB.179328:SCML2	SCML2
PB.179347:CDKL5	CDKL5
PB.179347:GJA6P	GJA6P
PB.179395:PHKA2	PHKA2
PB.179395:RN7SL48P	RN7SL48P
PB.179415:ENSG00000286724	ENSG00000286724
PB.179421:PDHA1	PDHA1
PB.179430:MAP3K15	MAP3K15
PB.179444:SH3KBP1	SH3KBP1
PB.179444:BCLAF3	BCLAF3
PB.179448:MAP7D2	MAP7D2
PB.179466:MAP7D2	MAP7D2
PB.179466:EIF1AX	EIF1AX
PB.179466:EIF1AX+MAP7D2	EIF1AX+MAP7D2
PB.179472:RN7SKP183	RN7SKP183
PB.179501:RARRES2P3	RARRES2P3
PB.179551:ENSG00000288832	ENSG00000288832
PB.179552:CNKSR2	CNKSR2
PB.179553:KLHL34	KLHL34
PB.179579:MBTPS2	MBTPS2
PB.179579:YY2	YY2
PB.179585:CYTH1P1	CYTH1P1
PB.179590:SMS	SMS
PB.179618:PHEX	PHEX
PB.179863:PRDX4	PRDX4
PB.179874:ACOT9	ACOT9
PB.179874:ACOT9+ENSG00000233785	ACOT9+ENSG00000233785
PB.179874:APOO	APOO
PB.179874:KLHL15	KLHL15
PB.179879:SAT1	SAT1
PB.179879:EIF2S3	EIF2S3
PB.179879:ZFX	ZFX
PB.179879:ENSG00000289472	ENSG00000289472
PB.179879:CXorf58	CXorf58
PB.179920:SUPT20HL1	SUPT20HL1
PB.179945:PDK3	PDK3
PB.179945:SNRPEP9	SNRPEP9
PB.179974:EEF1B2P3	EEF1B2P3
PB.180033:POLA1	POLA1
PB.180041:MAGEB2	MAGEB2
PB.180062:TASL	TASL
PB.18009:KLHL29	KLHL29
PB.180094:GK	GK
PB.180094:GK-IT1	GK-IT1
PB.180124:TAB3	TAB3
PB.180132:DMD	DMD
PB.180142:TBCAP1	TBCAP1
PB.180146:ENSG00000271519	ENSG00000271519
PB.180160:ENSG00000231069	ENSG00000231069
PB.180161:PRRG1	PRRG1
PB.180178:LANCL3	LANCL3
PB.180178:LANCL3+XK	LANCL3+XK
PB.180208:CYBB	CYBB
PB.180223:DYNLT3	DYNLT3
PB.180232:SRPX	SRPX
PB.18024:KLHL29	KLHL29
PB.180253:RPGR	RPGR
PB.180257:TSPAN7	TSPAN7
PB.180263:ENSG00000287729	ENSG00000287729
PB.180263:MID1IP1-AS1	MID1IP1-AS1
PB.180272:MID1IP1	MID1IP1
PB.180272:ENSG00000289127	ENSG00000289127
PB.180272:ENSG00000289127+MID1IP1	ENSG00000289127+MID1IP1
PB.180309:ENSG00000224610	ENSG00000224610
PB.180309:LINC01281	LINC01281
PB.180309:ENSG00000224610+LINC01281	ENSG00000224610+LINC01281
PB.180312:LINC01283	LINC01283
PB.180323:ENSG00000261435	ENSG00000261435
PB.180359:ENSG00000288856	ENSG00000288856
PB.180362:BCOR	BCOR
PB.180384:ATP6AP2	ATP6AP2
PB.180385:ATP6AP2	ATP6AP2
PB.180392:CXorf38	CXorf38
PB.180406:MED14OS	MED14OS
PB.180410:DPRXP6	DPRXP6
PB.180411:MED14	MED14
PB.180438:DDX3X	DDX3X
PB.180438:USP9X	USP9X
PB.180465:GPR34	GPR34
PB.180465:GPR82	GPR82
PB.180493:CASK	CASK
PB.180493:YWHAZP10	YWHAZP10
PB.180493:RN7SL144P	RN7SL144P
PB.180497:ENSG00000231772	ENSG00000231772
